Partner_id,Partner_name,Phone_number,City,Vehicle_type,Rating,Join_date
DP39814,James,9903854102,Kolkata,Scooter,5,2/4/2019
DP47936,Lucas,9915634572,Kolkata,Bike,2.7,3/18/2023
DP10025,Mia,7902585330,Hyderabad,Scooter,3.3,9/27/2024
DP31657,Liam,7102015447,Hyderabad,Bike,3.4,3/17/2024
DP37914,Charlotte,8423155270,Pune,Scooter,3.4,4/1/2023
DP24813,Amelia,8403138352,Hyderabad,Bike,3,12/4/2020
DP49273,Liam,8965481402,Delhi,Scooter,3.3,3/28/2020
DP39186,James,9273194519,Bangalore,Bike,4.4,10/6/2023
DP03231,Lucas,8660469752,Ahmedabad,Bike,4.9,11/2/2021
DP46730,Olivia,9896488669,Hyderabad,Scooter,3.6,9/2/2022
DP06102,Isabella,7271925294,Hyderabad,Bike,4.2,12/13/2019
DP22825,Noah,9485826237,Chennai,Scooter,3.4,11/8/2021
DP02969,Ethan,9801064178,Mumbai,Scooter,2.6,6/11/2020
DP14158,James,9687256715,Chennai,Scooter,1,3/7/2024
DP25712,Adam,9985304233,Kolkata,Scooter,1.9,10/13/2024
DP12459,Alexander,7973329972,Delhi,Scooter,1.3,6/8/2022
DP37405,Mia,7240483596,Hyderabad,Bike,4.7,11/12/2019
DP15708,Charlotte,8441354508,Chennai,Scooter,2.7,10/24/2019
DP41801,Amelia,7069706293,Kolkata,Bike,2.2,5/14/2020
DP27031,Liam,8636344331,Ahmedabad,Scooter,2.5,8/25/2020
DP41494,Amelia,8736587137,Chennai,Bike,3.6,3/15/2023
DP04410,Amelia,8114187538,Pune,Bike,2.3,7/27/2024
DP24506,Charlotte,9291082799,Ahmedabad,Bike,3.9,12/25/2023
DP45994,Ethan,8264492684,Pune,Bike,3.4,9/23/2023
DP40497,Ethan,8880420366,Mumbai,Scooter,3,7/2/2023
DP44044,Emma,9263381814,Hyderabad,Scooter,1.7,8/20/2022
DP04068,Emma,9357044708,Delhi,Scooter,2.4,6/2/2020
DP01844,Alexander,7156159536,Ahmedabad,Bike,1.1,5/8/2024
DP15288,Isabella,9240016199,Bangalore,Bike,4.6,6/2/2024
DP05094,Mason,9634002744,Kolkata,Scooter,3.9,3/6/2023
DP05618,Lucas,7904747125,Delhi,Scooter,1.8,8/8/2019
DP31550,Ethan,9465375359,Mumbai,Bike,3.7,12/9/2020
DP16941,Amelia,8030938505,Mumbai,Scooter,2.7,4/19/2022
DP31422,Charlotte,9727004564,Chennai,Scooter,1.6,1/10/2022
DP22082,Sophia,7508781668,Hyderabad,Scooter,1.5,7/15/2023
DP14398,Lucas,7352448633,Pune,Bike,3.5,1/28/2019
DP40491,Mia,7659086813,Kolkata,Bike,3.9,4/11/2022
DP30424,Emma,9232174739,Kolkata,Scooter,1.2,7/21/2024
DP01460,Adam,7254874223,Chennai,Scooter,2.2,2/16/2021
DP21722,Sophia,8821512306,Pune,Scooter,4.8,2/20/2023
DP41754,Olivia,8147651901,Kolkata,Bike,3.5,3/11/2022
DP05216,James,7958459861,Hyderabad,Bike,5,9/19/2019
DP45004,Ethan,8353521342,Kolkata,Bike,3.6,3/22/2022
DP46657,Emma,8222238940,Pune,Bike,2.3,12/24/2022
DP37970,Noah,8253692445,Ahmedabad,Bike,2.3,12/25/2019
DP31858,Mason,8346280401,Ahmedabad,Bike,1.1,4/23/2021
DP10080,Amelia,8721717025,Ahmedabad,Scooter,2.1,7/26/2021
DP05452,Lucas,7004561440,Pune,Bike,3.8,7/10/2023
DP07123,Emma,8246385686,Mumbai,Scooter,3.9,7/3/2020
DP45782,Olivia,9446328918,Delhi,Bike,3.1,3/6/2024
DP09083,Alexander,9548591617,Mumbai,Bike,4.6,8/3/2024
DP30101,Emma,8975467803,Bangalore,Scooter,4.3,1/10/2021
DP00380,Lucas,7541030904,Delhi,Scooter,4.9,10/15/2019
DP21577,James,9926294200,Kolkata,Scooter,1.2,7/5/2019
DP15076,Mia,7421852433,Kolkata,Bike,4.3,5/13/2020
DP23645,Amelia,9621282551,Chennai,Bike,2.9,7/4/2020
DP29902,Isabella,7616833114,Kolkata,Scooter,1.4,7/18/2024
DP27898,Sophia,8697591604,Mumbai,Scooter,1.5,8/22/2023
DP27439,James,7809673019,Hyderabad,Bike,2.4,6/24/2023
DP26587,Mia,8117386136,Pune,Bike,1.3,5/13/2021
DP45362,Mason,7996053804,Kolkata,Bike,3.4,8/19/2023
DP47051,Isabella,7639904834,Ahmedabad,Bike,3.1,11/25/2023
DP36839,Emma,8840923048,Kolkata,Bike,3.7,11/28/2020
DP49978,Liam,9013059171,Mumbai,Bike,1.8,8/25/2024
DP46626,Noah,8645255795,Pune,Bike,3.6,4/5/2023
DP44895,Ethan,8531448332,Bangalore,Bike,4,12/24/2022
DP11487,Noah,8495306785,Chennai,Bike,4.4,7/2/2021
DP06115,Mason,7592707737,Pune,Bike,3.4,5/8/2020
DP26474,Olivia,9084675168,Delhi,Scooter,4.2,2/8/2022
DP46445,Ava,7018952067,Mumbai,Bike,4.8,3/19/2024
DP17808,Charlotte,9689084013,Delhi,Scooter,4.7,10/9/2019
DP17331,Ethan,7205342085,Kolkata,Bike,2.9,3/25/2019
DP17644,Isabella,7580778754,Delhi,Bike,2.5,9/14/2019
DP35290,Charlotte,7458371440,Chennai,Bike,1.6,8/20/2023
DP18162,Lucas,7034499008,Ahmedabad,Scooter,3.3,10/26/2022
DP26731,Adam,7108684301,Kolkata,Bike,3.8,9/18/2021
DP26129,Amelia,9082728832,Mumbai,Scooter,1.9,12/26/2022
DP37700,Olivia,9457090519,Chennai,Bike,3.7,3/26/2022
DP47724,Sophia,8601117993,Bangalore,Scooter,2.3,10/4/2020
DP39389,Noah,8566051427,Delhi,Bike,4.5,10/3/2023
DP07276,Lucas,9259275633,Pune,Bike,3.9,7/23/2023
DP05415,Olivia,9153269848,Mumbai,Bike,4.3,9/9/2020
DP47606,Mason,7157420216,Ahmedabad,Bike,4.8,9/1/2024
DP23537,Ethan,9759828700,Chennai,Scooter,3,5/4/2019
DP45107,Mia,9449430156,Bangalore,Bike,2.1,3/22/2021
DP23409,Isabella,9237671863,Mumbai,Scooter,1.7,11/23/2021
DP14213,James,7803234964,Kolkata,Bike,4.9,8/17/2019
DP19306,Lucas,7949228242,Mumbai,Scooter,2.4,8/8/2020
DP40812,Isabella,7178353962,Chennai,Bike,1.2,1/16/2020
DP03923,Mia,8476248025,Hyderabad,Scooter,1.5,4/20/2019
DP38861,Liam,7448582884,Mumbai,Scooter,2.8,8/7/2022
DP26629,James,8065585547,Pune,Scooter,1.8,10/27/2020
DP33885,Sophia,8029444000,Kolkata,Bike,4.7,4/13/2023
DP47204,Amelia,8927988689,Ahmedabad,Bike,1.3,6/18/2020
DP31565,Ethan,8547863978,Hyderabad,Bike,3.5,5/3/2022
DP38501,Noah,8425181470,Hyderabad,Bike,4,6/15/2024
DP41209,Emma,9223221273,Delhi,Bike,2.2,1/27/2021
DP35035,Mason,9618135497,Ahmedabad,Bike,1.3,5/4/2024
DP24560,Adam,8632265992,Bangalore,Scooter,3.4,8/25/2022
DP04105,Mia,7198904120,Ahmedabad,Scooter,4.1,8/11/2019
DP10362,Isabella,8940720606,Bangalore,Bike,4.6,4/2/2022
DP11941,Ethan,9649271359,Mumbai,Bike,4.4,5/10/2023
DP43832,Mason,7045260565,Chennai,Scooter,1.8,5/2/2019
DP33340,Ava,9844251994,Mumbai,Scooter,4.2,8/2/2022
DP16539,Amelia,7735373584,Delhi,Scooter,1,9/20/2024
DP24960,James,9019861428,Mumbai,Scooter,1.4,6/3/2022
DP13729,Alexander,8391381306,Hyderabad,Bike,4,5/11/2024
DP21457,James,9540431368,Chennai,Bike,2.2,8/10/2022
DP41331,Lucas,7819775599,Kolkata,Scooter,4.8,7/13/2021
DP31137,Liam,8616740421,Chennai,Bike,1.2,3/17/2020
DP26091,Olivia,7300027434,Mumbai,Scooter,2.2,11/23/2022
DP41210,Alexander,7718334675,Hyderabad,Scooter,2.1,6/16/2024
DP30255,Ethan,7811997568,Kolkata,Bike,3.9,7/18/2020
DP00290,Alexander,8231034746,Ahmedabad,Bike,1.3,11/13/2019
DP46691,Olivia,8665466617,Chennai,Bike,3.1,11/1/2021
DP28564,Emma,7728227527,Delhi,Bike,2.6,7/23/2021
DP43558,Emma,8860447253,Bangalore,Scooter,3,10/21/2020
DP00160,Lucas,8338792291,Ahmedabad,Bike,3.8,6/2/2019
DP21483,Emma,8036056686,Ahmedabad,Bike,3.6,9/5/2024
DP48461,Ava,7408651501,Bangalore,Bike,3.2,5/6/2024
DP05061,Isabella,9400611262,Delhi,Scooter,4,4/4/2024
DP06154,Olivia,9834895832,Mumbai,Bike,4.1,6/8/2024
DP14740,Alexander,9505027822,Delhi,Scooter,1.5,2/1/2020
DP14263,Mason,9695696589,Mumbai,Scooter,1.3,11/17/2021
DP25960,Alexander,7388122668,Bangalore,Scooter,1.3,7/13/2020
DP13876,James,7274315205,Chennai,Bike,1.1,11/12/2024
DP10508,Isabella,7625628876,Pune,Bike,4.7,2/8/2021
DP36440,Emma,9658034008,Mumbai,Scooter,2.6,9/10/2019
DP31394,Mason,7122821702,Hyderabad,Scooter,1.8,8/24/2022
DP34633,Adam,8322764889,Mumbai,Bike,2.5,7/15/2019
DP26311,Amelia,8879604786,Pune,Bike,1.1,2/24/2021
DP37990,Amelia,7706919615,Pune,Scooter,2.8,4/28/2024
DP42957,Noah,8400143865,Pune,Bike,3.8,10/15/2024
DP46135,James,7977148627,Delhi,Bike,3.1,1/1/2021
DP47210,Olivia,9298288449,Hyderabad,Scooter,3.3,2/3/2020
DP04632,Liam,8900696933,Bangalore,Scooter,2.9,9/24/2020
DP30788,Ethan,9090290719,Delhi,Scooter,3.5,2/12/2023
DP15888,Mason,8378540140,Ahmedabad,Scooter,4.6,9/22/2022
DP16174,Noah,9668909334,Delhi,Bike,4.8,10/20/2022
DP04987,Ethan,7090096430,Delhi,Bike,3.9,10/9/2023
DP26350,Mason,7103008148,Bangalore,Scooter,5,8/12/2023
DP02523,Olivia,9516340850,Chennai,Bike,1.9,9/25/2022
DP24542,Charlotte,9589451161,Delhi,Bike,3.7,1/5/2021
DP17493,Alexander,8275273897,Bangalore,Scooter,1.2,10/25/2024
DP27900,Adam,7170312233,Mumbai,Scooter,2.9,6/21/2022
DP32885,Mia,8468738590,Pune,Bike,2.1,1/16/2022
DP12660,Mia,8046818287,Ahmedabad,Bike,3.2,5/2/2019
DP37102,Ava,7965931326,Hyderabad,Bike,3.8,8/18/2021
DP33555,Liam,9039165037,Delhi,Bike,3,7/4/2024
DP31967,Ava,9219084081,Pune,Bike,3.7,12/27/2022
DP21636,Sophia,9223395904,Ahmedabad,Scooter,2.8,8/23/2020
DP43932,Noah,8914072432,Pune,Bike,4.9,2/17/2022
DP07295,Ethan,8756664415,Delhi,Scooter,5,4/18/2023
DP05290,Isabella,7240401271,Mumbai,Bike,4.2,5/8/2021
DP03685,Mia,9586010511,Bangalore,Bike,1.2,9/7/2022
DP25686,Ethan,9660195804,Mumbai,Scooter,5,8/28/2021
DP45269,Mason,8344943558,Mumbai,Scooter,4.9,6/19/2019
DP30225,Sophia,8835805192,Delhi,Scooter,2.1,8/2/2024
DP10661,Mia,7932131163,Hyderabad,Scooter,1.7,3/18/2024
DP18246,Alexander,7442487398,Mumbai,Bike,2.5,10/12/2024
DP38263,Alexander,8410905467,Chennai,Scooter,1,8/15/2023
DP22643,Amelia,8432684230,Kolkata,Bike,2.2,4/26/2023
DP23024,Noah,7485770353,Kolkata,Scooter,3.9,6/14/2023
DP38143,Adam,8687863503,Bangalore,Bike,2,8/18/2020
DP33842,Olivia,8308666561,Mumbai,Bike,4.1,3/27/2022
